date,CO,NO2,SO2,O3
2025-08-30 00:00:00+00:00,0.02711704,3e-05,0.0,0.11845691
2025-08-31 00:00:00+00:00,0.02711704,3e-05,0.0,0.1200800455
2025-09-01 00:00:00+00:00,0.02711704,3e-05,0.0,0.121703181
2025-09-02 00:00:00+00:00,0.022874656,3e-05,0.0,0.118958898
2025-09-03 00:00:00+00:00,0.026162612,4e-05,0.0,0.119883115
2025-09-04 00:00:00+00:00,0.029209304,4e-05,0.0001,0.12054681
2025-09-05 00:00:00+00:00,0.031457502,5e-05,0.0001,0.120958505
2025-09-06 00:00:00+00:00,0.029946831,2e-05,0.0001,0.120513052
2025-09-07 00:00:00+00:00,0.034199847,8e-05,0.0001,0.117007887
2025-09-08 00:00:00+00:00,0.036154546,3e-05,5e-05,0.113502722
2025-09-09 00:00:00+00:00,0.02606035,8e-05,0.0,0.114719838
2025-09-10 00:00:00+00:00,0.027068083,6.333333333333333e-05,0.0,0.118054263
2025-09-11 00:00:00+00:00,0.027973302,4.6666666666666665e-05,-5e-05,0.113941856
2025-09-12 00:00:00+00:00,0.028878521,3e-05,-0.0001,0.115501042
2025-09-13 00:00:00+00:00,0.030711954,5e-05,-0.0001,0.115880256
2025-09-14 00:00:00+00:00,0.029466812,5e-05,0.0,0.116956679
2025-09-15 00:00:00+00:00,0.030077924,5e-05,0.0,0.11330158
2025-09-16 00:00:00+00:00,0.0302004045,5.333333333333333e-05,0.0,0.117765615
2025-09-17 00:00:00+00:00,0.030322885,5.666666666666667e-05,0.0,0.114860037
2025-09-18 00:00:00+00:00,0.0300019725,6e-05,0.0,0.115178014
2025-09-19 00:00:00+00:00,0.02968106,4e-05,0.0,0.116554751
2025-09-20 00:00:00+00:00,0.026465138,3e-05,-5e-05,0.114170354
2025-09-21 00:00:00+00:00,0.030952895,5e-05,-0.0001,0.114944207
2025-09-22 00:00:00+00:00,0.027690108,5e-05,0.0,0.115041389
2025-09-23 00:00:00+00:00,0.035521867,5.5e-05,0.0001,0.118015022
2025-09-24 00:00:00+00:00,0.038969502,6e-05,0.0001,0.118807028
2025-09-25 00:00:00+00:00,0.029768623,5e-05,-0.0001,0.117521717
2025-09-26 00:00:00+00:00,0.032672884,3e-05,0.0,0.117275304
2025-09-27 00:00:00+00:00,0.032292466,4e-05,0.0002,0.117006066
2025-09-28 00:00:00+00:00,0.031922936,4e-05,0.0,0.117060989
2025-09-29 00:00:00+00:00,0.033803716,4e-05,0.0001,0.116909371
2025-09-30 00:00:00+00:00,0.031719383999999996,3.5000000000000004e-05,0.0001,0.11688421
2025-10-01 00:00:00+00:00,0.029635052,3e-05,0.0001,0.120396978
2025-10-02 00:00:00+00:00,0.031066522,5e-05,0.0,0.120404311
2025-10-03 00:00:00+00:00,0.032497992,6e-05,0.0,0.121210871
2025-10-04 00:00:00+00:00,0.03563565,8e-05,0.0,0.119448245
2025-10-05 00:00:00+00:00,0.03487885,6.500000000000001e-05,-0.0001,0.119279412
2025-10-06 00:00:00+00:00,0.03412205,5e-05,0.0001,0.119610123
2025-10-07 00:00:00+00:00,0.035735514499999996,6e-05,0.0001,0.1219396
2025-10-08 00:00:00+00:00,0.037348979,6e-05,0.0001,0.120200062
2025-10-09 00:00:00+00:00,0.036810455,5.5e-05,0.0001,0.112010401
2025-10-10 00:00:00+00:00,0.036271931,5e-05,0.0,0.112160333
2025-10-11 00:00:00+00:00,0.032884767,4e-05,-0.0001,0.111016651
2025-10-12 00:00:00+00:00,0.028042055,7e-05,0.0002,0.11336404
2025-10-13 00:00:00+00:00,0.023927499,3e-05,0.0,0.11403904
2025-10-14 00:00:00+00:00,0.029004945,5e-05,-0.0001,0.112088812
2025-10-15 00:00:00+00:00,0.025982457,7e-05,0.0002,0.111962317
2025-10-16 00:00:00+00:00,0.030915949,6e-05,0.0,0.112792846
2025-10-17 00:00:00+00:00,0.030962089,4e-05,0.0001,0.117642214
2025-10-18 00:00:00+00:00,0.032013231,5e-05,0.0001,0.120445237
2025-10-19 00:00:00+00:00,0.033064373,6e-05,6e-05,0.118355832
2025-10-20 00:00:00+00:00,0.0332820615,6e-05,1.9999999999999998e-05,0.120964785
2025-10-21 00:00:00+00:00,0.03349975,6e-05,-2.0000000000000012e-05,0.116235724
2025-10-22 00:00:00+00:00,0.0337174385,6e-05,-6.000000000000001e-05,0.120821231
2025-10-23 00:00:00+00:00,0.033935127,6e-05,-0.0001,0.115235033
2025-10-24 00:00:00+00:00,0.0341528155,6e-05,0.0,0.120276024
2025-10-25 00:00:00+00:00,0.034370504,6e-05,0.0001,0.12058061525
2025-10-26 00:00:00+00:00,0.037590637,6e-05,-0.0001,0.1208852065
2025-10-27 00:00:00+00:00,0.03181325,5.5e-05,-0.0001,0.12118979775
2025-10-28 00:00:00+00:00,0.026035863,5e-05,-0.0001,0.121494389
2025-10-29 00:00:00+00:00,0.026521041333333332,4.666666666666667e-05,0.0,0.116931986
2025-10-30 00:00:00+00:00,0.027006219666666668,4.3333333333333334e-05,0.0,0.120551857
2025-10-31 00:00:00+00:00,0.027491398,4e-05,0.0,0.119564401
