date,feature_index,SO2
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,-5.548300759983249E-5
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,3.5553988709580153E-4
2025-12-30T00:00:00.000Z,0,1.4501658370136283E-6
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,2.9022825856372947E-5
2026-04-13T00:00:00.000Z,0,-9.586618034518324E-5
2026-04-15T00:00:00.000Z,0,1.507395034423098E-4
2026-04-12T00:00:00.000Z,0,9.035716842239101E-5
2026-04-10T00:00:00.000Z,0,2.591523868128813E-4
2026-04-11T00:00:00.000Z,0,3.0391904632172856E-4
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,4.607922164723277E-6
2026-05-21T00:00:00.000Z,0,
2026-05-19T00:00:00.000Z,0,2.1074851777787748E-4
2026-05-23T00:00:00.000Z,0,2.3359326344992345E-4
2026-05-25T00:00:00.000Z,0,4.5599572331411764E-4
2026-05-26T00:00:00.000Z,0,
2026-05-20T00:00:00.000Z,0,2.088310566250584E-6
2026-05-22T00:00:00.000Z,0,
2026-05-24T00:00:00.000Z,0,1.4948094667488476E-4
2025-11-06T00:00:00.000Z,0,
2025-11-03T00:00:00.000Z,0,2.808440864707033E-4
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,-1.5099843646263858E-5
2025-11-02T00:00:00.000Z,0,-2.7919193295626126E-5
2025-11-04T00:00:00.000Z,0,3.919374285032973E-5
2025-11-07T00:00:00.000Z,0,-7.357261529250536E-5
2025-11-01T00:00:00.000Z,0,-4.4018238986609505E-5
2026-02-03T00:00:00.000Z,0,
2026-02-01T00:00:00.000Z,0,-5.838308425154537E-6
2026-01-31T00:00:00.000Z,0,8.162624289980158E-5
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,-9.890046536990363E-6
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,-5.7277762607554905E-5
2026-07-28T00:00:00.000Z,0,-8.615210390416905E-6
2026-07-24T00:00:00.000Z,0,-1.3327456258593884E-6
2026-07-25T00:00:00.000Z,0,-1.0102359738084488E-4
2026-07-26T00:00:00.000Z,0,2.9639998441174004E-4
2026-07-22T00:00:00.000Z,0,2.824989011666427E-5
2026-07-29T00:00:00.000Z,0,-3.233396334204978E-5
2026-07-23T00:00:00.000Z,0,-9.93201247183606E-5
2026-07-27T00:00:00.000Z,0,-4.0040642488747835E-5
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,8.391093039487411E-5
2025-10-02T00:00:00.000Z,0,4.56239601286749E-5
2025-10-06T00:00:00.000Z,0,6.191625228287496E-5
2025-10-04T00:00:00.000Z,0,1.3852189416259837E-6
2025-10-03T00:00:00.000Z,0,2.1455255440135563E-5
2025-10-05T00:00:00.000Z,0,-5.081815834273584E-5
2025-09-29T00:00:00.000Z,0,1.3985310215502977E-4
2025-09-03T00:00:00.000Z,0,-2.1770771127194167E-6
2025-09-04T00:00:00.000Z,0,1.091863632609602E-4
2025-09-02T00:00:00.000Z,0,-9.668119067403799E-6
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,-2.9405817622318864E-4
2025-09-01T00:00:00.000Z,0,8.367879975897571E-6
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,5.354209497454576E-5
2026-01-19T00:00:00.000Z,0,-7.799649756634608E-5
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,1.651236721954774E-4
2026-03-03T00:00:00.000Z,0,
2026-03-05T00:00:00.000Z,0,
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,1.4604773023165762E-4
2026-03-04T00:00:00.000Z,0,7.604513060262737E-5
2026-02-28T00:00:00.000Z,0,8.300220482245398E-5
2026-03-07T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,6.183112479144863E-5
2026-04-02T00:00:00.000Z,0,3.066162268320719E-5
2026-04-05T00:00:00.000Z,0,8.706900128648461E-5
2026-04-04T00:00:00.000Z,0,2.0124150614719838E-4
2026-04-08T00:00:00.000Z,0,1.292631059186533E-4
2026-04-01T00:00:00.000Z,0,-5.4974559437444746E-5
2026-04-03T00:00:00.000Z,0,-8.190280823328067E-6
2026-04-07T00:00:00.000Z,0,1.8522781950499242E-4
2026-06-22T00:00:00.000Z,0,1.348054502159357E-4
2026-06-26T00:00:00.000Z,0,1.1429510986999958E-4
2026-06-20T00:00:00.000Z,0,5.278057603087897E-4
2026-06-21T00:00:00.000Z,0,
2026-06-27T00:00:00.000Z,0,2.2769532430781208E-5
2026-06-23T00:00:00.000Z,0,-1.2946530478075147E-5
2026-06-24T00:00:00.000Z,0,-1.375469673803309E-5
